"source","target","weight"
"Al-Mua'qi'oon Biddam Brigade (Those who Sign with Blood)","France",1
"Al-Mua'qi'oon Biddam Brigade (Those who Sign with Blood)","International",4
"Al-Mua'qi'oon Biddam Brigade (Those who Sign with Blood)","Mali",4
"Al-Mujahedin Brigades (Palestine)","Israel",1
"Al-Mus'abi Tribe","Yemen",1
"Al-Naqshabandiya Army","Iraq",35
"Al-Nasir Army (Syria)","Syria",3
"Al-Nasireen Group","India",3
"Al-Nasirin (India)","India",2
"Al-Nawaz","Pakistan",1
"Al-Nusrah Front","Great Britain",1
"Al-Nusrah Front","International",2
"Al-Nusrah Front","Iran",1
"Al-Nusrah Front","Iraq",2
"Al-Nusrah Front","Italy",2
"Al-Nusrah Front","Lebanon",29
"Al-Nusrah Front","Multinational",1
"Al-Nusrah Front","Netherlands",1
"Al-Nusrah Front","Russia",2
"Al-Nusrah Front","Saba (Netherlands Antilles)",1
"Al-Nusrah Front","Spain",1
"Al-Nusrah Front","Sweden",1
"Al-Nusrah Front","Syria",223
"Al-Nusrah Front","United States",4
"Al-Qaida","Afghanistan",17
"Al-Qaida","France",2
"Al-Qaida","Great Britain",1
"Al-Qaida","International",4
"Al-Qaida","Israel",2
"Al-Qaida","Multinational",2
"Al-Qaida","Pakistan",13
"Al-Qaida","Somalia",1
"Al-Qaida","Tunisia",1
"Al-Qaida","Turkey",2
"Al-Qaida","United States",10
"Al-Qaida","West Bank and Gaza Strip",1
"Al-Qaida","Yemen",2
"Al-Qaida in Iraq","Algeria",1
"Al-Qaida in Iraq","Australia",1
"Al-Qaida in Iraq","Bahrain",1
"Al-Qaida in Iraq","Egypt",2
"Al-Qaida in Iraq","France",1
"Al-Qaida in Iraq","Great Britain",2
"Al-Qaida in Iraq","Iraq",604
"Al-Qaida in Iraq","Italy",1
"Al-Qaida in Iraq","Japan",1
"Al-Qaida in Iraq","Jordan",3
"Al-Qaida in Iraq","Multinational",3
"Al-Qaida in Iraq","Pakistan",1
"Al-Qaida in Iraq","Russia",2
"Al-Qaida in Iraq","Slovak Republic",1
"Al-Qaida in Iraq","Sudan",1
"Al-Qaida in Iraq","Syria",2
"Al-Qaida in Iraq","United States",8
"Al-Qaida in Lebanon","Lebanon",1
"Al-Qaida in Saudi Arabia","Multinational",3
"Al-Qaida in Saudi Arabia","Saudi Arabia",4
"Al-Qaida in Saudi Arabia","Switzerland",1
"Al-Qaida in the Arabian Peninsula (AQAP)","Belarus",1
"Al-Qaida in the Arabian Peninsula (AQAP)","Bulgaria",2
"Al-Qaida in the Arabian Peninsula (AQAP)","Canada",1
"Al-Qaida in the Arabian Peninsula (AQAP)","Finland",1
"Al-Qaida in the Arabian Peninsula (AQAP)","France",3
"Al-Qaida in the Arabian Peninsula (AQAP)","Germany",2
"Al-Qaida in the Arabian Peninsula (AQAP)","Great Britain",4
"Al-Qaida in the Arabian Peninsula (AQAP)","International",6
"Al-Qaida in the Arabian Peninsula (AQAP)","Iran",2
"Al-Qaida in the Arabian Peninsula (AQAP)","Multinational",1
"Al-Qaida in the Arabian Peninsula (AQAP)","Netherlands",1
"Al-Qaida in the Arabian Peninsula (AQAP)","Saudi Arabia",9
"Al-Qaida in the Arabian Peninsula (AQAP)","South Africa",1
"Al-Qaida in the Arabian Peninsula (AQAP)","South Korea",2
"Al-Qaida in the Arabian Peninsula (AQAP)","Switzerland",1
"Al-Qaida in the Arabian Peninsula (AQAP)","United Kingdom",1
"Al-Qaida in the Arabian Peninsula (AQAP)","United States",11
"Al-Qaida in the Arabian Peninsula (AQAP)","Yemen",924
