"source","target","weight"
"M-19 (Movement of April 19)","Venezuela",5
"M-19 Splinter","United States",1
"M-5","France",2
"M-7","United States",1
"M-7","Venezuela",1
"M12J","United States",1
"M23","Democratic Republic of the Congo",6
"M23","International",2
"Ma'sadat al-Mujahideen","Israel",2
"Maasai","Kenya",1
"Mabanese Defence Forces","International",1
"Mabanese Defence Forces","South Sudan",2
"Maccabee Squad and the Shield of David","United States",2
"Macedonian nationalists","Greece",1
"Macetos (Paramilitary Group)","Colombia",1
"Macheteros","Puerto Rico",13
"Macheteros","Spain",1
"Macheteros","United States",23
"Macina Liberation Front (FLM)","Mali",12
"Macina Liberation Front (FLM)","Multinational",1
"Madhesh Mukti Sangram (MMS)","India",1
"Madhesh Rastra Janatantrik Revolutionary (RJR) - Nepal","Nepal",5
"Madhesi Mukti Tigers (MMT)","India",2
"Madhesi Mukti Tigers (MMT)","Nepal",7
"Madhesi People's Rights Forum (MPRF)","Nepal",3
"Madhesi Virus Killers","Nepal",1
"Mafia","Italy",9
"Magahat Militia","Philippines",2
"Mahan Madhesh Janakantri Party (MMJP)- Nepal","Namibia",1
"Mahan Madhesh Janakantri Party (MMJP)- Nepal","Nepal",3
"Mahaz Fedai Tahrik Islami Afghanistan","Afghanistan",3
"Mahaz Fedai Tahrik Islami Afghanistan","Sweden",1
"Mahaz Fedai Tahrik Islami Afghanistan","United States",1
"Mahaz-e-Inquilab","India",3
"Mahaz-e-Milli Islami Afghanistan","Afghanistan",1
"Mahdaviyat","Iran",1
"Mahdi Army","Canada",1
"Mahdi Army","Iraq",15
"Mahdi Army","South Korea",1
"Mahdi Army","United States",1
"Mahidi","East Timor",1
"Mahir Cayan Suicide Group","United States",1
"Mahsud Tribe","Pakistan",1
"Mai Mai Bakata Katanga Militia","Democratic Republic of the Congo",10
"Mai Mai Karakara Militia","Democratic Republic of the Congo",1
"Mai Mai Manu Militia","Democratic Republic of the Congo",1
"Mai Mai Mazembe Militia","Democratic Republic of the Congo",6
"Mai Mai Simba Militia","Democratic Republic of the Congo",9
"Majerten clansmen","Somalia",1
"Majlis-e-Askari","Pakistan",1
"Major Muhammad Zuhnyn Group","Israel",1
"Makhachkala Gang","Russia",4
"Malaysian Communist Party","Malaysia",1
"Malaysian Communist Party","Thailand",1
"Mali students","Mali",1
"Malitia-Pro Govt","Republic of the Congo",1
"Manatari Brotherhood","Lebanon",1
"Mandela Soccer Club","South Africa",1
"Manipur Naga People's Army (MNPA)","India",9
"Manipur Nationalist Revolutionary Party (MNRP)","India",1
"Mano Blanca","Guatemala",4
"Mano Blanca","Mexico",1
"MANO-D","Dominican Republic",1
"Manuel Ascencio Padilla Group","Bolivia",1
"Manuel Gonzales Patriotic Front","Chile",2
"Manuel Jose Arce Commando","El Salvador",6
"Manuel Rodriguez Patriotic Front (FPMR)","Australia",2
"Manuel Rodriguez Patriotic Front (FPMR)","Chile",789
"Manuel Rodriguez Patriotic Front (FPMR)","France",1
"Manuel Rodriguez Patriotic Front (FPMR)","Italy",1
"Manuel Rodriguez Patriotic Front (FPMR)","Lebanon",1
"Manuel Rodriguez Patriotic Front (FPMR)","Peru",1
"Manuel Rodriguez Patriotic Front (FPMR)","South Africa",2
"Manuel Rodriguez Patriotic Front (FPMR)","Spain",2
"Manuel Rodriguez Patriotic Front (FPMR)","United States",31
"Maoist Communist Center (MCC)","India",33
"Maoist Communist Center (MCC)","Nepal",2
"Maoist Communist Party (MKP)","Turkey",1
"Maoist Communist Party of Manipur","India",3
"Maoists","India",1191
"Maoists","Italy",1
"Maoists","Nepal",226
"Maoists","Peru",4
"Maoists","Philippines",1
"Maoists","Thailand",1
"Maori","New Zealand",1
"Mapuche activists","Chile",12
"Marhan Clan","Kenya",1
"Mariano Moreno National Liberation Commando","United States",3
"Martyr Abu Ja'far Group","Iraq",1
"Martyr Abu Ja'far Group","Saudi Arabia",1
"Martyr Ahmad Alishuay B Group","Lebanon",1
"Martyr al-Nimr Battalion","Bahrain",1
"Martyr Ali Nasir group","Iraq",1
"Martyr Riyad Taha Group","Syria",1
"Martyr Sami al-Ghul Brigades","Israel",1
"Martyrs Halim Group","Israel",1
"Martyrs of Baalbek","France",1
"Martyrs of La Talanguera","Honduras",2
"Martyrs of Saad Sayel","Syria",1
"Martyrs of Tell Al-Zaltar","Switzerland",1
"Martyrs revenge organization","Saudi Arabia",1
"Maruseido (Marxist Youth League)","United States",2
"Marwan Al-Qawasimi and Amir Abu-Ayshah Group","Israel",1
"Marxist Peoples Fedayeen of Iran","Germany",1
"Marxist Resistance Movement","Chile",1
"Marxist-Leninist Armed Propaganda Unit","Israel",1
"Marxist-Leninist Armed Propaganda Unit","Turkey",2
"Marxist-Leninist Armed Propaganda Unit","United States",3
"Marxists","Bangladesh",1
"Marxists","Brazil",1
"Marxists","Chile",2
"Marxists","El Salvador",1
"Marxists","France",3
"Marxists","Greece",1
"Marxists","Guatemala",1
"Marxists","Japan",1
"Marxists","Lebanon",1
"Marxists","Sri Lanka",6
"Marxists","United States",1
"Masada, Action and Defense Movement","West Bank and Gaza Strip",1
"Maskini Liberation Front","Kenya",3
"Massive escape","Greece",1
"Matan Abdulle","Somalia",1
"Mateo Morral Insurrectionist Commandos","Spain",2
"Maute Group","Philippines",14
"Maute Group","United States",1
"Mawlawi and Mansour Group","Lebanon",1
"Maximiliano Gomez Revolutionary Brigade","Dominican Republic",14
"Maximiliano Hernandez Martinez Brigade","El Salvador",7
"May 15 Organization for the Liberation of Palestine","Great Britain",1
"May 15 Organization for the Liberation of Palestine","Iran",1
"May 15 Organization for the Liberation of Palestine","Israel",6
"May 15 Organization for the Liberation of Palestine","United States",1
"May 19 Communist Order","Israel",1
"May 19 Communist Order","South Africa",1
"May 19 Communist Order","United States",18
"May-36","Greece",1
"May-98","Greece",2
"Mayi Mayi","Belgium",1
"Mayi Mayi","Democratic Republic of the Congo",39
"Mayi Mayi","International",2
"Mayi Mayi","Multinational",1
"Mayi Mayi","Switzerland",1
"Mayi Mayi","Thailand",1
"Mazari Tribesmen","Pakistan",1
"Mazdoor Kisan Sangram Samiti (MKSS)","India",1
"Medellin Drug Cartel","Colombia",2
"Medellin Drug Cartel","United States",1
"Medfaiyah Wal-Sewarigh Brigade","Tunisia",1
"Meibion Glyndwr","Great Britain",30
"Meinhof-Puig-Antich Group","France",1
"Meinhof-Puig-Antich Group","Germany",1
"Meinhof-Puig-Antich Group","Sweden",2
"Meinhof-Puig-Antich Group","Switzerland",1
"Meitei extremists","India",1
"Mercenaries","India",1
"Mercenaries","Seychelles",1
"Merille Militia","Kenya",4
"Mesopotamian Army (MEZOR)","Turkey",1
"Mexican Revolutionary Movement","United States",1
"Mexican Students","Lebanon",1
"Miguel Angel Cabrera Command","Guatemala",1
"Miguel d'Escoto Brockman Community Movement","Nicaragua",1
"Mikhail Kaltezas Anarchist Organization","Greece",1
"Milicias Rodriguistas","United States",4
"Militant Argentine Patriots","Great Britain",1
"Militant Cells","West Germany (FRG)",1
"Militant Forces Against Huntingdon","Switzerland",1
"Militant Islamic Group, name not stated","Egypt",1
"Militant Minority (Greece)","Greece",7
"Militant Moslem Pilgrims","Bangladesh",1
"Militant Movement for Madagascan Socialism (MMSM)","Madagascar",1
"Militant Organization of Russian Nationalists","Tajikistan",1
"Militant Peasants (NFI)","Mexico",2
"Militant People's Revolutionary Forces","Greece",1
"Militant Welsh","Great Britain",1
"Militant Zionist Resistance Movement","Libya",1
"Militants","Afghanistan",3
"Militants","Algeria",6
"Militants","India",29
"Militants","Iraq",1
"Militants","Nigeria",1
"Militants","Pakistan",31
"Militants","Sri Lanka",2
"Militants","Thailand",1
"Militants of the National Action Party","Mexico",1
"Military Council for the True Liberation of Albania","Albania",1
"Military Council of the Tribal Revolutionaries (MCTR)","Iraq",20
"Military Liberation Front of Colombia","Cuba",1
"Militia Members","Burundi",1
"Militia Members","Democratic Republic of the Congo",1
"Militia Members","International",2
"Militia Members","Kenya",2
"Militia Members","Lebanon",1
"Militia Members","Sudan",4
"MILPAS Contras","Nicaragua",1
"Miners","Chile",1
"Minority Unity Forum","India",1
"Minutemen American Defense","United States",1
"Miscreants","India",3
"Miscreants","Pakistan",2
"Miskito Indian Organization","Nicaragua",3
"Miskito Indian Organization","United States",1
"Misrata Brigades","Egypt",1
"Misrata Brigades","Libya",9
"Misseriya Arab Tribesmen","International",1
"Misseriya Arab Tribesmen","Sudan",2
"Misurasata Indian Organization","Belgium",1
"Misurasata Indian Organization","Germany",1
"Misurasata Indian Organization","Nicaragua",32
"Mitiga Militia","Libya",1
"Mizo National Front","India",14
"MLA","United States",1
"Mlada Bosna","Multinational",1
"MNR of the Left","Japan",1
"Mob","France",1
"Mob","Germany",1
"Mob","Great Britain",1
"Mob","Indonesia",1
"Mob","Mexico",1
"Mob","United States",2
"Modakeke Ethnic Activists","Nigeria",2
"Modakeke Ethnics","Nigeria",4
"Mohajir National Movement","Pakistan",9
"Mombasa Republican Council (MRC)","Kenya",9
"Mon Guerrillas","Myanmar",4
"Mon Insurgents","Myanmar",3
"Mon Insurgents","Thailand",1
"Mong Thai Army (MTA)","Myanmar",2
"Mongolian Mukti Morcha","Nepal",1
"Montoneros (Argentina)","Argentina",67
"Montoneros (Argentina)","Chile",2
"Montoneros (Argentina)","France",3
"Montoneros (Argentina)","Germany",2
"Montoneros (Argentina)","International",1
"Montoneros (Argentina)","Italy",1
"Montoneros (Argentina)","Soviet Union",1
"Montoneros (Argentina)","United States",38
"Montoneros (Argentina)","Uruguay",1
"Montoneros Patria Libre","Ecuador",5
"Moran Tiger Force (MTF)","India",2
"Morazanist Front for the Liberation of Honduras (FMLH)","Honduras",5
"Morazanist Front for the Liberation of Honduras (FMLH)","United States",1
"Mormon Extremist","United States",1
"Moro Ghuraba","Philippines",2
"Moro Islamic Liberation Front (MILF)","China",1
"Moro Islamic Liberation Front (MILF)","Ireland",1
"Moro Islamic Liberation Front (MILF)","Italy",1
"Moro Islamic Liberation Front (MILF)","Malaysia",1
"Moro Islamic Liberation Front (MILF)","Multinational",2
"Moro Islamic Liberation Front (MILF)","Philippines",351
"Moro Islamic Liberation Front (MILF)","South Korea",2
"Moro Islamic Liberation Front (MILF)","Sri Lanka",2
"Moro Islamic Liberation Front (MILF)","Switzerland",1
"Moro National Liberation Front (MNLF)","Austria",1
"Moro National Liberation Front (MNLF)","France",2
"Moro National Liberation Front (MNLF)","Germany",1
"Moro National Liberation Front (MNLF)","Great Britain",1
"Moro National Liberation Front (MNLF)","Ireland",1
"Moro National Liberation Front (MNLF)","Japan",2
"Moro National Liberation Front (MNLF)","Netherlands",1
"Moro National Liberation Front (MNLF)","Philippines",178
"Moro National Liberation Front (MNLF)","South Korea",2
"Moro National Liberation Front (MNLF)","Switzerland",2
"Moro National Liberation Front (MNLF)","United States",3
"Moro National Liberation Front Splinter group","Philippines",1
"Moroccan extremists","United States",1
"Moslem Activists","Algeria",49
"Moslem Activists","France",1
"Moslem Activists","Russia",1
"Moslem opponents of Gemayel","Lebanon",1
"Moslem Paramilitary Group","Bosnia-Herzegovina",1
"Motherland Party","Turkey",1
"Mouhajiroune Brigade","Algeria",1
"Mousa Ismail sub-clan","Great Britain",1
"Movement for Cuban Justice (Pragmatistas)","United States",1
"Movement for Democracy and Development (MDD)","United States",1
"Movement for Democracy and Justice in Chad (MDJT)","Chad",2
"Movement for Democratic Change (MDC)","Zimbabwe",3
"Movement for Dignity and Soverignty","Italy",1
"Movement for Oneness and Jihad in West Africa (MUJAO)","Algeria",3
"Movement for Oneness and Jihad in West Africa (MUJAO)","France",2
"Movement for Oneness and Jihad in West Africa (MUJAO)","International",6
"Movement for Oneness and Jihad in West Africa (MUJAO)","Mali",32
"Movement for Oneness and Jihad in West Africa (MUJAO)","Niger",6
"Movement for Oneness and Jihad in West Africa (MUJAO)","Nigeria",1
"Movement for Oneness and Jihad in West Africa (MUJAO)","Spain",1
"Movement for Oneness and Jihad in West Africa (MUJAO)","United States",1
"Movement for Rebuilding Fatah","West Bank and Gaza Strip",1
"Movement for Self-Determination","France",1
"Movement for the Actualization of the Sovereign State of Biafra (MASSOB)","Nigeria",3
"Movement for the Emancipation of the Niger Delta (MEND)","Afghanistan",1
"Movement for the Emancipation of the Niger Delta (MEND)","Asian",1
"Movement for the Emancipation of the Niger Delta (MEND)","China",1
"Movement for the Emancipation of the Niger Delta (MEND)","Denmark",1
"Movement for the Emancipation of the Niger Delta (MEND)","Equatorial Guinea",1
"Movement for the Emancipation of the Niger Delta (MEND)","Germany",1
"Movement for the Emancipation of the Niger Delta (MEND)","Great Britain",1
"Movement for the Emancipation of the Niger Delta (MEND)","India",1
"Movement for the Emancipation of the Niger Delta (MEND)","Italy",7
"Movement for the Emancipation of the Niger Delta (MEND)","Multinational",4
"Movement for the Emancipation of the Niger Delta (MEND)","Netherlands",9
"Movement for the Emancipation of the Niger Delta (MEND)","Nigeria",45
"Movement for the Emancipation of the Niger Delta (MEND)","Philippines",1
"Movement for the Emancipation of the Niger Delta (MEND)","South Korea",2
"Movement for the Emancipation of the Niger Delta (MEND)","United States",7
"Movement for the Protection of Jerusalem","Hungary",1
"Movement for the Supremacy of Reason","France",1
"Movement for Triqui Unification and Struggle","Mexico",1
"Movement of Democratic Forces of Casamance","Asian",1
"Movement of Democratic Forces of Casamance","Senegal",75
"Movement of Islamic Action of Iraq","Iraq",2
"Movement of Niger People for Justice (MNJ)","Asian",1
"Movement of Niger People for Justice (MNJ)","China",1
"Movement of Niger People for Justice (MNJ)","France",1
"Movement of Niger People for Justice (MNJ)","Niger",6
"Movement of Niger People for Justice (MNJ)","Nigeria",1
"Movement of the Islamic State (MEI)","Algeria",1
"Movement of the Revolutionary Left (MIR) (Bolivia)","Bolivia",1
"Movement of the Revolutionary Left (MIR) (Chile)","Chile",298
"Movement of the Revolutionary Left (MIR) (Chile)","France",1
"Movement of the Revolutionary Left (MIR) (Chile)","Mexico",1
"Movement of the Revolutionary Left (MIR) (Chile)","Spain",1
"Movement of the Revolutionary Left (MIR) (Chile)","United States",5
"Movement of the Revolutionary Left (MIR) (Peru)","France",1
"Movement of the Revolutionary Left (MIR) (Peru)","Peru",4
"Movement of the Revolutionary Left (MIR) (Peru)","United States",2
"Movement of the Revolutionary Left (MIR) (Venezuela)","United States",1
"Movement of the Revolutionary Left (MIR) (Venezuela)","Venezuela",1
"Movement of the Third Reich","Germany",1
"Mozambican Rebels","Mozambique",2
"Mozambique Liberation Front (FRELIMO)","Mozambique",5
"Mozambique National Resistance Movement (MNR)","Brazil",6
"Mozambique National Resistance Movement (MNR)","Canada",1
"Mozambique National Resistance Movement (MNR)","China",1
"Mozambique National Resistance Movement (MNR)","France",1
"Mozambique National Resistance Movement (MNR)","Great Britain",7
"Mozambique National Resistance Movement (MNR)","India",1
"Mozambique National Resistance Movement (MNR)","International",2
"Mozambique National Resistance Movement (MNR)","Malawi",3
"Mozambique National Resistance Movement (MNR)","Mozambique",251
"Mozambique National Resistance Movement (MNR)","Portugal",8
"Mozambique National Resistance Movement (MNR)","South Africa",3
"Mozambique National Resistance Movement (MNR)","Spain",2
"Mozambique National Resistance Movement (MNR)","Swaziland",1
"Mozambique National Resistance Movement (MNR)","Switzerland",2
"Mozambique National Resistance Movement (MNR)","Zambia",11
"Mozambique National Resistance Movement (MNR)","Zimbabwe",8
"Mozambique Rightest Rebels","Mozambique",1
"Muhammed Shuqayr Group","Lebanon",1
"Mujahedeen Army","Iraq",2
"Mujahedeen Army","United States",1
"Mujahedeen Brigades","Japan",1
"Mujahedeen Corps in Iraq","Jordan",1
"Mujahedeen Corps in Iraq","United States",1
"Mujahedeen Group","United States",1
"Mujahedeen Shura Council","Australia",2
"Mujahedeen Shura Council","Iraq",6
"Mujahedeen Shura Council in the Environs of Jerusalem","Israel",4
"Mujahedin Kompak","Indonesia",1
"Mujahedin-e Khalq (MEK)","Great Britain",1
"Mujahedin-e Khalq (MEK)","Iran",91
"Mujahedin-e Khalq (MEK)","Iraq",5
"Mujahedin-e Khalq (MEK)","Lebanon",1
"Mujahedin-e Khalq (MEK)","United States",13
"Mujahideen Ansar","Pakistan",18
"Mujahideen Islam Pattani","Thailand",4
"Mujahideen Kashmir","India",6
"Mujahideen Youth Movement (MYM)","Asian",1
"Mujahideen Youth Movement (MYM)","Ethiopia",3
"Mujahideen Youth Movement (MYM)","Somalia",19
"Mujahidin Ambon","Indonesia",1
"Mujahidin Indonesia Timur (MIT)","Indonesia",20
"Mukhtar Army","Iran",2
"Mukhtar Army","Iraq",2
"Munadil al-Jumalyi Brigade","Iraq",1
"Mungiki Sect","Kenya",5
"Murle Tribe","Ethiopia",11
"Murle Tribe","South Sudan",8
"Murle Tribe","Sudan",2
"Musa Sudi Yalahow Militia","Somalia",1
"Muslim Brotherhood","Egypt",35
"Muslim Brotherhood","India",2
"Muslim Brotherhood","Israel",1
"Muslim Brotherhood","Libya",1
"Muslim Brotherhood","Soviet Union",6
"Muslim Brotherhood","Syria",80
"Muslim Commando (Iraqi revolutionary brothers)","Iraq",1
"Muslim Demonstrators","Bangladesh",3
"Muslim Demonstrators","Egypt",1
"Muslim Demonstrators","Pakistan",1
"Muslim extremists","Afghanistan",1
"Muslim extremists","Albania",1
"Muslim extremists","Algeria",17
"Muslim extremists","Australia",1
"Muslim extremists","Bahrain",1
"Muslim extremists","Belgium",1
"Muslim extremists","Bosnia-Herzegovina",5
"Muslim extremists","Burkina Faso",2
"Muslim extremists","Canada",2
"Muslim extremists","Central African Republic",1
"Muslim extremists","Egypt",92
"Muslim extremists","France",7
"Muslim extremists","Germany",4
"Muslim extremists","Great Britain",5
"Muslim extremists","India",35
"Muslim extremists","Indonesia",12
"Muslim extremists","International",11
"Muslim extremists","Iran",2
"Muslim extremists","Iraq",32
"Muslim extremists","Israel",3
"Muslim extremists","Japan",1
"Muslim extremists","Jordan",1
"Muslim extremists","Kazakhstan",1
"Muslim extremists","Kenya",1
"Muslim extremists","Kuwait",1
"Muslim extremists","Kyrgyzstan",2
"Muslim extremists","Lebanon",10
"Muslim extremists","Libya",97
"Muslim extremists","Maldives",4
"Muslim extremists","Mali",27
"Muslim extremists","Myanmar",6
"Muslim extremists","Nigeria",6
"Muslim extremists","Pakistan",16
"Muslim extremists","Philippines",8
"Muslim extremists","Russia",16
"Muslim extremists","Somalia",8
"Muslim extremists","South Africa",1
"Muslim extremists","Spain",1
"Muslim extremists","Sri Lanka",6
"Muslim extremists","Switzerland",2
"Muslim extremists","Syria",57
"Muslim extremists","Thailand",7
"Muslim extremists","Tunisia",12
"Muslim extremists","Turkey",2
"Muslim extremists","Ukraine",1
"Muslim extremists","United States",14
"Muslim extremists","West Bank and Gaza Strip",1
"Muslim extremists","Yemen",17
"Muslim Fundamentalists","Algeria",43
"Muslim Fundamentalists","Bangladesh",4
"Muslim Fundamentalists","Bosnia-Herzegovina",1
"Muslim Fundamentalists","Egypt",24
"Muslim Fundamentalists","Great Britain",1
"Muslim Fundamentalists","India",1
"Muslim Fundamentalists","Italy",2
"Muslim Fundamentalists","Kuwait",1
"Muslim Fundamentalists","Lebanon",2
"Muslim Fundamentalists","Pakistan",3
"Muslim Fundamentalists","Russia",1
"Muslim Fundamentalists","Serbia-Montenegro",1
"Muslim Fundamentalists","South Korea",1
"Muslim Fundamentalists","Switzerland",1
"Muslim Guerrillas","Afghanistan",1
"Muslim Guerrillas","Algeria",1
"Muslim Guerrillas","Austria",1
"Muslim Guerrillas","Greece",1
"Muslim Guerrillas","Lebanon",1
"Muslim Guerrillas","Philippines",5
"Muslim Guerrillas","Thailand",1
"Muslim Janbaz Force","India",2
"Muslim Janbaz Force","Sweden",1
"Muslim Liberation Front","Iran",1
"Muslim Militants","Afghanistan",3
"Muslim Militants","Algeria",34
"Muslim Militants","Bangladesh",29
"Muslim Militants","Cameroon",1
"Muslim Militants","Ecuador",1
"Muslim Militants","Egypt",58
"Muslim Militants","France",1
"Muslim Militants","Great Britain",2
"Muslim Militants","India",89
"Muslim Militants","Indonesia",37
"Muslim Militants","Israel",2
"Muslim Militants","Lebanon",3
"Muslim Militants","Nigeria",1
"Muslim Militants","Pakistan",9
"Muslim Militants","Philippines",8
"Muslim Militants","Russia",3
"Muslim Militants","Sri Lanka",5
"Muslim Militants","Tajikistan",1
"Muslim Militants","Thailand",3
"Muslim Militants","Turkey",1
"Muslim Militants","West Bank and Gaza Strip",1
"Muslim Militants","Yemen",1
"Muslim Rebels","Algeria",24
"Muslim Rebels","India",4
"Muslim Rebels","Philippines",20
"Muslim Renewal","Tanzania",1
"Muslim Separatists","China",2
"Muslim Separatists","Germany",1
"Muslim Separatists","India",117
"Muslim Separatists","Philippines",8
"Muslim Separatists","Russia",1
"Muslim Separatists","Tanzania",1
"Muslim Separatists","Thailand",31
"Muslim Separatists","United States",1
"Muslim United Army (MUA)","Multinational",1
"Muslim United Liberation Tigers of Assam (MULTA)","India",1
"Muslim Youth","Cameroon",1
"Muslim Youth","Indonesia",1
"Muslim Youth","Kenya",1
"Muslims","Bangladesh",1
"Muslims","China",2
"Muslims","France",1
"Muslims","Ghana",1
"Muslims","India",7
"Muslims","Indonesia",8
"Muslims","Iran",1
"Muslims","Nigeria",1
"Muslims","Philippines",17
"Muslims","Sri Lanka",5
"Muslims","Thailand",2
"Muslims","United States",1
"Muslims Against Global Oppression (MAGO)","Multinational",1
"Mustafa Aktas Fighting Unit","West Germany (FRG)",1
"Mustafa al-Hujairi Group","Lebanon",3
"Mutahida Majlis-e-Amal","Pakistan",2
"Mutassim Billah Gaddafi Battalion","Lebanon",1
"Muttahida Qami Movement (MQM)","Pakistan",173
"Mwakenya Dissident Movement","Kenya",2
"Naga National Council (NNC)","India",2
"Naga People","India",15
"Naga People","Myanmar",2
"Naga People's Council (NPC)","India",1
"Naga Students Federation","India",2
"Nahzat e Eslami","United States",1
"Najd Province of the Islamic State","Kuwait",1
"Najd Province of the Islamic State","Saudi Arabia",7
"Najib Watan Party Faction","Afghanistan",1
"Namchong-Nyon Students","South Korea",1
"Nandi Tribe","Kenya",4
"Nara Red Army","Japan",1
"Narco-Terrorists","Brazil",2
"Narco-Terrorists","Colombia",348
"Narco-Terrorists","Ecuador",1
"Narco-Terrorists","Panama",2
"Narco-Terrorists","Peru",13
"Narco-Terrorists","United States",2
"National Accord Movement","Iraq",1
"National Alliance (Chad)","Chad",3
"National Anti Communist Commando","El Salvador",3
"National Anti-Corruption Front (FNA)","Brazil",1
"National Army for the Liberation of Uganda (NALU)","Uganda",1
"National Awami Party","Pakistan",1
"National Bolshevik Party (Partiya Natsionalnikh Bolshevikov - PNB)","Latvia",1
"National Committee Against Independence (CNCI)","France",1
"National Committee Against Independence (CNCI)","New Caledonia",1
"National Committee for the Restoration of Democracy and State (CNRDR)","Mali",1
"National Committee to Combat Fascism","United States",2
"National Congress for the Defense of the People (CNDP)","Democratic Republic of the Congo",3
"National Congress for the Defense of the People (CNDP)","International",2
"National Council for Defense of Democracy (NCDD)","Burundi",12
"National Council for Defense of Democracy (NCDD)","International",1
"National Council for Defense of Democracy (NCDD)","Multinational",1
"National Council for Defense of Democracy (NCDD)","Republic of the Congo",1
"National Council of Maubere Resistance","Indonesia",1
"National Defense Youth Corps","Japan",1
"National Democratic Alliance (NDA)","Uganda",2
"National Democratic Alliance Army (NDAA-ESSA)","Myanmar",10
"National Democratic Alliance of Sudan","Sudan",1
"National Democratic Front of Bodoland (NDFB)","Bhutan",2
"National Democratic Front of Bodoland (NDFB)","Iceland",1
"National Democratic Front of Bodoland (NDFB)","India",170
"National Democratic Front of Liberia","United States",1
"National Democratic Front-Bicol (NDF-Bicol)","China",1
"National Democratic Front-Bicol (NDF-Bicol)","Philippines",2
"National Democratic Party","Bangladesh",1
"National Democratic Party","Cuba",1
"National Development Party (NDP)","Kenya",1
"National Freedom Party","South Africa",1
"National Front (Greece)","Greece",1
"National Front Against Tigers (NFAT)","Great Britain",1
"National Front Against Tigers (NFAT)","Norway",1
"National Front Against Tigers (NFAT)","Sri Lanka",1
"National Front for the Liberation of Belgium","Belgium",1
"National Front for the Liberation of Cuba (FLNC)","Bahamas",2
"National Front for the Liberation of Cuba (FLNC)","Cuba",10
"National Front for the Liberation of Cuba (FLNC)","Mexico",1
"National Front for the Liberation of Cuba (FLNC)","Spain",1
"National Front for the Liberation of Cuba (FLNC)","United States",8
"National Front for the Revolution in Burundi (FRONABU-Tabara)","Burundi",2
"National Front for the Salvation of Libya","Libya",4
"National Front Security Service","France",1
"National Independent Committee for Political Prisoners and Persecuted and Missing Persons","Belgium",1
"National Independent Committee for Political Prisoners and Persecuted and Missing Persons","Denmark",1
"National Integration Front (FIN)","United States",4
"National League for Democracy","Myanmar",2
"National Liberation Alliance of Sa Kaeo","Thailand",1
"National Liberation Army (Ecuador)","Ecuador",1
"National Liberation Army (Ecuador)","Spain",2
"National Liberation Army (El Salvador)","El Salvador",1
"National Liberation Army (Nepal)","Nepal",1
"National Liberation Army (NLA) (Macedonia)","Israel",1
"National Liberation Army (NLA) (Macedonia)","Macedonia",34
"National Liberation Army (Peru)","Peru",2
"National Liberation Army of Colombia (ELN)","Argentina",1
"National Liberation Army of Colombia (ELN)","Armenia",1
"National Liberation Army of Colombia (ELN)","Brazil",3
"National Liberation Army of Colombia (ELN)","Canada",4
"National Liberation Army of Colombia (ELN)","Chile",1
"National Liberation Army of Colombia (ELN)","Colombia",1345
"National Liberation Army of Colombia (ELN)","El Salvador",1
"National Liberation Army of Colombia (ELN)","France",10
"National Liberation Army of Colombia (ELN)","Germany",6
"National Liberation Army of Colombia (ELN)","Great Britain",2
"National Liberation Army of Colombia (ELN)","Honduras",2
"National Liberation Army of Colombia (ELN)","International",1
"National Liberation Army of Colombia (ELN)","Israel",1
"National Liberation Army of Colombia (ELN)","Italy",4
"National Liberation Army of Colombia (ELN)","Japan",1
"National Liberation Army of Colombia (ELN)","Lithuania",1
"National Liberation Army of Colombia (ELN)","Mexico",2
"National Liberation Army of Colombia (ELN)","Multinational",6
"National Liberation Army of Colombia (ELN)","Netherlands",2
"National Liberation Army of Colombia (ELN)","Norway",2
"National Liberation Army of Colombia (ELN)","Panama",1
"National Liberation Army of Colombia (ELN)","Peru",1
"National Liberation Army of Colombia (ELN)","Russia",1
"National Liberation Army of Colombia (ELN)","Spain",5
"National Liberation Army of Colombia (ELN)","Sweden",1
"National Liberation Army of Colombia (ELN)","Switzerland",1
"National Liberation Army of Colombia (ELN)","United States",36
"National Liberation Army of Colombia (ELN)","Venezuela",36
"National Liberation Army of Colombia (ELN)","West Germany (FRG)",2
"National Liberation Council of Taniland","India",1
"National Liberation Force of Bengalis (Bangali Janamukti Bahini)","India",4
"National Liberation Front (Ecuador)","Ecuador",1
"National Liberation Front (FNL) (Burundi)","Burundi",30
"National Liberation Front (FNL) (Burundi)","International",1
"National Liberation Front (FNL) (Burundi)","Vatican City",1
"National Liberation Front of Chad","Germany",1
"National Liberation Front of Provence (FLNP)","France",3
"National Liberation Front of Tripura (NLFT)","Bangladesh",1
"National Liberation Front of Tripura (NLFT)","India",77
"National Liberation Movement Party","Guatemala",1
"National Liberation People's Front (FPLN)","Colombia",1
"National Liberation Union","Suriname",2
"National Movement Against the Mahgreb Invasion","France",1
"National Movement of Iranian Resistance","Iran",1
"National Organization of Cypriot Fighters (EOKA)","Cyprus",4
"National Organization of Cypriot Fighters (EOKA)","Great Britain",2
"National Patriotic Front of Liberia (NPFL)","Guinea",1
"National Patriotic Front of Liberia (NPFL)","International",1
"National Patriotic Front of Liberia (NPFL)","Lebanon",1
"National Patriotic Front of Liberia (NPFL)","Liberia",3
"National Patriotic Front of Liberia (NPFL)","Sierra Leone",8
"National Patriotic Front of Liberia (NPFL)","United States",2
"National People's Movement Coordination Committee","Nepal",3
